Cooperative,Community,Latitude,Longitude
Asunafo North,Kyenkyenhene,6.81296945,-2.58322709
Asunafo North,Kwameagyeikrom,6.78696291,-2.58785525
Asunafo North,Addokrom,6.95749785,-2.87566017
Asunafo North,Adiepena,6.65561453,-2.73154258
Asunafo North,Anwiawia,6.81894674,-2.66663874
Asunafo North,Atimkrom,6.75556998,-2.63260923
Asunafo North,Atom,6.6897652,-2.83729879
Asunafo North,Anyimaye,6.68776075,-2.76697752
Asunafo North,Brodedwo,6.65217721,-2.59602693
Asunafo North,Boakyeasua,6.67165658,-2.81888372
Asunafo North,Buakari,6.75189198,-2.5231824
Asunafo North,Betoda,6.96116177,-2.7726147
Asunafo North,Dominase,6.88572133,-2.71094399
Asunafo North,Driverkrom,6.85886127,-2.70038275
Asunafo North,Dottom,6.72240861,-2.63167824
Asunafo North,Duase,6.943525,-2.59499488
Asunafo North,Edwinase,6.74341091,-2.62391509
Asunafo North,Kofifofiekrom,6.83238067,-2.73290667
Asunafo North,Kwakuduakrom,6.77277286,-2.63146606
Asunafo North,Kyeameasua,6.73183477,-2.64196098
Asunafo North,Mim Goagya,6.8849651,-2.57389898
Asunafo North,Manukrom,6.6518937,-2.77007148
Asunafo North,Mireku,6.78727781,-2.58540276
Asunafo North,Mmawaninha,6.66320767,-2.750331
Asunafo North,Soadwakrom,6.76980828,-2.63124593
Asetenapa,Abenabo,6.02866102,-0.41204304
Asetenapa,Abissim Kwaboanta,5.885955,-0.53891493
Asetenapa,Densuso,6.13821212,-0.46275496
Asetenapa,Jato,6.03548842,-0.37964013
Asetenapa,Kwame Kyere,5.96400582,-0.50096359
Asetenapa,Nankese,6.10618304,-0.36695092
Asetenapa,New Alema,5.92843012,-0.482023
Asetenapa,Obretema,6.07620749,-0.49640752
Asetenapa,Tetekasum,6.0084651,-0.47599785
Asetenapa,Traio Junction,6.06207604,-0.39739339
Abocfa,Adda,6.04564557,-0.49505582
Abocfa,Aponoapono,6.04661882,-0.49515144
Abocfa,Aponoapono No.1,6.04874721,-0.47579379
Abocfa,Amanhyia,6.04639793,-0.40936823
Abocfa,Banna,6.06518271,-0.49874105
Abocfa,Kokoano,6.05731488,-0.51624388
Abocfa,Kokoteasua,6.06028288,-0.50272667
Abocfa,Osuta,6.06023914,-0.50090482
Abocfa,Okanta,6.0724306,-0.5239249
Abocfa,Wawase,6.04390598,-0.49935815
Abocfa,Yokuhe,6.065161397,-0.495163551